id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license
17891,Large Light Filled Loft,69063,Candace,,Central & Western,22.28327,114.14988,Entire home/apt,1400,60,73,2017-11-29,0.48,1,0,0,
72571,SoHo off Hollywood Road 3A,304876,Brend,,Central & Western,22.28463,114.15054,Entire home/apt,573,2,151,2022-03-11,1.07,10,168,1,
103760,Central Centre 5 min walk to/from Central MTR,304876,Brend,,Central & Western,22.28418,114.15431,Entire home/apt,855,3,284,2022-09-08,2.07,10,265,10,
104626,Entire Flat - Next to Man Mo Temple,544166,Celine,,Central & Western,22.2836,114.1479,Entire home/apt,2194,1,14,2012-02-06,0.10,1,365,0,
132773,Fabulous 2 Bdrm Aprt Open kitchen,304876,Brend,,Central & Western,22.28921,114.14325,Entire home/apt,1012,2,216,2022-09-12,1.59,10,338,7,
163664,Soho off Hollywood Road P4,304876,Brend,,Central & Western,22.28494,114.14901,Entire home/apt,620,2,225,2021-02-16,1.67,10,0,0,
163742,Soho off Hollywood Road P3,304876,Brend,,Central & Western,22.28657,114.14889,Entire home/apt,777,2,234,2021-08-30,1.73,10,168,0,
248140,Bright Studio - Soho - Central HK,1300549,Darren,,Central & Western,22.28228,114.14923,Entire home/apt,750,1,170,2022-09-12,1.28,1,172,5,
263081,"3 睡房, 2500 平方呎 有工人 Family Friendly! 在中環半山 有車",1370155,Chuster,,Central & Western,22.27723,114.15083,Private room,4541,4,0,,,1,353,0,
274589,"8 mins HKCEC, 5 mins MTR Wan Chai, nr Causeway Bay",1435069,Shanshan,,Wan Chai,22.27924,114.16995,Entire home/apt,824,14,247,2022-09-05,1.89,1,304,6,
280746,Beautiful 3 bedroom designer Apt,1443229,Alice,,Yuen Long,22.46592,113.98207,Entire home/apt,964,4,40,2022-03-09,0.32,2,365,1,
306515,"HongKong,Central Bright Double Room",1576511,Frederic,,Central & Western,22.28376,114.15313,Entire home/apt,940,30,20,2015-08-14,0.15,1,365,0,
463214,Awesome flat in Sai Ying Pun with Harbour view!!,2296168,Arnaud,,Central & Western,22.28537,114.14238,Entire home/apt,1176,3,21,2020-01-04,0.17,1,244,0,
505456,GREEN NEST IN  SHEUNG WAN HEART,1189239,Audrey,,Central & Western,22.28543,114.1489,Entire home/apt,850,1,241,2022-08-29,1.93,1,333,22,
562683,Mixed Dorm Bed#1/Wan Chai/close to MTR,2767794,Check Inn HK,,Wan Chai,22.27825,114.17699,Shared room,216,1,113,2019-11-10,0.94,43,365,0,
562808,Mixed Dorm Bed#4/Wan Chai/close to MTR,2767794,Check Inn HK,,Wan Chai,22.27825,114.17699,Shared room,216,1,25,2019-06-14,0.30,43,365,0,
562817,Mixed Dorm Bed#A/Wan Chai/close to MTR,2767794,Check Inn HK,,Wan Chai,22.27825,114.17699,Shared room,216,1,164,2022-08-30,1.33,43,365,1,
562840,Mixed Dorm Bed#B/Wan Chai/close to MTR,2767794,Check Inn HK,,Wan Chai,22.27825,114.17699,Shared room,216,1,28,2019-05-08,0.23,43,365,0,
578652,Modern family-friendly suite in fishing village,2846701,Veronica,,Islands,22.25382,113.86251,Hotel room,1917,1,14,2022-04-17,0.16,3,79,1,
603049,Deluxe Room@Espace Elastique-Tai O,2846701,Veronica,,Islands,22.25552,113.86369,Hotel room,1338,1,40,2022-08-07,0.39,3,80,8,
603050,Standard Rm@Espace Elastique-Tai O,2846701,Veronica,,Islands,22.25575,113.86351,Hotel room,933,1,28,2022-08-01,0.26,3,84,4,
603232,DISCOVERY BAY - 3 Bedroom apartment,2986287,Tish,,Islands,22.29313,114.01591,Entire home/apt,1271,3,36,2022-09-04,0.34,1,0,9,
634726,"BIG 3BR APT IN WANCHAI, HEART OF HK",3161756,Sl,,Wan Chai,22.276,114.1736,Entire home/apt,1000,1125,19,2013-08-31,0.16,1,0,0,
645404,Creative Residence in Kowloon . WM,634820,Wontonmeen,,Yau Tsim Mong,22.32532,114.16433,Hotel room,259,1,147,2020-01-27,1.21,6,78,0,
646645,Creative Residence. Private Room,634820,Wontonmeen,,Yau Tsim Mong,22.32532,114.16433,Private room,280,3,37,2020-01-09,0.30,6,0,0,
728122,Twin bed room for budget travellers,3784841,Albert,,Yau Tsim Mong,22.31807,114.17081,Private room,337,28,10,2022-03-28,0.08,4,297,1,
728126,Nice View Room for 2 travellers,3784841,Albert,,Yau Tsim Mong,22.31808,114.1706,Private room,420,28,17,2017-10-08,0.15,4,32,0,
733192,2 BR Quiet 400²ft 1 Min walk to MTR Prime Location,3820308,David,,Yau Tsim Mong,22.32135,114.16919,Entire home/apt,755,1,80,2022-06-02,0.66,9,253,2,
741955,Double bed room for 2 travellers,3784841,Albert,,Yau Tsim Mong,22.31828,114.17047,Private room,396,28,21,2022-04-29,0.18,4,340,6,
742040,Private room for single traveller,3784841,Albert,,Yau Tsim Mong,22.31792,114.17042,Private room,291,28,45,2022-03-31,0.38,4,339,1,
764696,Single bed room with green view,4031260,Jen Ai,,North,22.50294,114.13365,Private room,400,7,41,2022-07-31,0.34,2,254,2,
767022,Hong Kong - Great views/Location!,1853636,Ella,,Southern,22.23025,114.21702,Entire home/apt,7063,90,5,2017-04-16,0.04,1,0,0,
775458,Harbour Front + City Center + Cozy,2007350,Mandy & Henry,,Wan Chai,22.28086,114.17897,Entire home/apt,1349,2,328,2019-10-05,2.74,1,258,0,
792974,STUDIO with ROOF in HEART of SOHO,2172438,Joy,,Central & Western,22.28044,114.15064,Entire home/apt,1024,3,26,2020-08-03,0.23,1,168,0,
824618,浪漫沙滩露营❤转机高铁广深澳门中环旺角,4329021,Sanny,,Tuen Mun,22.37339,113.98763,Entire home/apt,279,30,0,,,1,84,0,
849316,Causeway Bay Nr Times Sq: Full Apartment,4414395,Mike,,Wan Chai,22.27742,114.18156,Entire home/apt,800,1,87,2022-09-13,0.81,1,13,5,
850531,❤❤SuperHost's Private Bedroom on HK Island @TinHau,4441809,Super Host Gordon :-),,Wan Chai,22.27981,114.19137,Private room,306,2,501,2020-07-05,4.24,1,0,0,
860891,Two Bedroom Apartment W. MID-LEVELS  西區2房單位 *近 MTR,4509858,Akiei,,Central & Western,22.28483,114.14237,Entire home/apt,1177,45,0,,,3,90,0,
860892,Two Bedrooms Apartmt @ W. Mid-Level  西區2房單位 *近 MTR,4509858,Akiei,,Central & Western,22.28294,114.14081,Entire home/apt,1138,60,1,2017-12-01,0.02,3,88,0,
861654,Fab' Quiet 1 B.R near Austin/Jordan MTR,3820308,David,,Yau Tsim Mong,22.30246,114.17543,Entire home/apt,509,2,35,2022-08-21,0.30,9,329,1,
869969,Studio available in Prince Edward,4584648,Ivy,,Kowloon City,22.32514,114.17712,Private room,217,30,2,2015-06-22,0.02,384,364,0,
870046,10 mins to CITY U --------- by MTR,4584648,Ivy,,Yau Tsim Mong,22.31318,114.16845,Entire home/apt,180,30,1,2014-05-29,0.01,384,351,0,
894221,Best room for you near MTR,4584648,Ivy,,Yau Tsim Mong,22.31453,114.16863,Private room,180,30,0,,,384,365,0,
894224,Tsimshatsui Room in Flat Share,4584648,Ivy,,Yau Tsim Mong,22.31006,114.17138,Private room,140,31,1,2013-09-25,0.01,384,349,0,
903169,Nice room available in Yau ma tei(y8b),4584648,Ivy,,Yau Tsim Mong,22.31188,114.17065,Private room,180,29,2,2018-09-30,0.02,384,365,0,
923017,Comfort Home in Prince Edward Mtr 4 beds,4971086,Alice,,Yau Tsim Mong,22.32579,114.16701,Entire home/apt,1036,1,356,2021-03-21,3.11,2,49,0,
944283,2 Bed Rooms heart of Central SOHO( sleeps 3),5100812,Nana,,Central & Western,22.28457,114.15375,Entire home/apt,808,10,71,2022-07-20,0.61,2,156,6,
956857,large Room- Heart of Soho/Central,5100812,Nana,,Central & Western,22.28324,114.15418,Private room,471,45,5,2019-04-15,0.04,2,228,0,
957513,"Hollywood Rd, Spacious and Sunny",5207666,James,,Central & Western,22.28526,114.14737,Entire home/apt,1040,3,37,2021-09-05,0.32,1,364,0,
992390,Bright quiet studio in Hong Kong Central district,5181284,Peter,,Central & Western,22.28272,114.15307,Entire home/apt,546,2,155,2022-09-01,1.34,2,80,4,
1008590,6 bed mixed dorm - Urban Pack Hostel,4812035,Urban Pack,,Yau Tsim Mong,22.29796,114.17181,Shared room,115,30,110,2018-11-24,0.96,3,365,0,
1016855,FURNISHED Sheung Wan FLATSHARE,4584648,Ivy,,Central & Western,22.28665,114.15054,Private room,180,30,2,2016-07-03,0.02,384,365,0,
1019390,A room in hip creative Sheung Wan,2014297,Cheryl,,Central & Western,22.28589,114.15149,Private room,600,1,66,2019-05-05,0.58,1,365,0,
1022377,Lovely Quiet Apartment With Rooftop,3905388,Janet,,Islands,22.24152,113.97984,Entire home/apt,707,2,189,2022-09-05,1.79,1,63,12,
1033352,Room in Wan Chai,4584648,Ivy,,Wan Chai,22.27904,114.18033,Private room,180,30,1,2014-01-04,0.01,384,365,0,
1033353,Sai Ying Poon Room in flatshare,4584648,Ivy,,Wan Chai,22.27761,114.17335,Private room,180,31,1,2015-08-03,0.01,384,365,0,
1046393,Wanchai - Room available,4584648,Ivy,,Wan Chai,22.27841,114.17121,Private room,180,30,0,,,384,365,0,
1072782,Nice and Big room in Fortress Hill,4584648,Ivy,,Eastern,22.28905,114.19639,Private room,180,30,0,,,384,365,0,
1108132,SOHO'S URBAN CHIC DESIGNERS APT,6084316,Lulu,,Central & Western,22.28071,114.15381,Entire home/apt,690,1,463,2022-09-05,4.06,1,334,38,
1145659,CWB Room,4584648,Ivy,,Wan Chai,22.27655,114.18077,Private room,180,29,0,,,384,364,0,
1149076,A beautiful Flat in Central - Caine road (ML23b),4584648,Ivy,,Central & Western,22.28033,114.15311,Private room,180,30,1,2014-02-01,0.01,384,365,0,
1149104,++Welcome for short term rent ++,4584648,Ivy,,Yau Tsim Mong,22.29925,114.17537,Private room,180,60,0,,,384,365,0,
1149202,Tsimshatsui Room in Flat Share (T5b),4584648,Ivy,,Yau Tsim Mong,22.29734,114.17478,Private room,180,30,0,,,384,0,0,
1149491,Fully furnished apartment,4584648,Ivy,,Eastern,22.2884,114.199,Private room,180,29,2,2015-11-26,0.02,384,0,0,
1164099,"Near with SOHO, for Long/Short term",4584648,Ivy,,Central & Western,22.28082,114.15233,Private room,180,30,0,,,384,259,0,
1165573,Mid-level 1br/1ba by escalator,4258815,Faye,,Central & Western,22.28122,114.15135,Entire home/apt,942,3,133,2022-09-03,1.18,1,43,10,
1171633,Near MTR Welcome for short/longterm,4584648,Ivy,,Central & Western,22.28528,114.15186,Private room,180,31,2,2015-08-16,0.02,384,365,0,
1182474,"Kowloon Mongkok 1812 Twin Room A, near station",6361579,Man Ching Athena,,Yau Tsim Mong,22.31585,114.16888,Private room,310,2,101,2019-12-12,1.02,12,0,0,
1187498,Nice room in Sheung Wan,4584648,Ivy,,Central & Western,22.28564,114.14785,Private room,180,30,2,2013-09-14,0.02,384,365,0,
1187557,The cheaper room! Near with HKU!!!!,4584648,Ivy,,Central & Western,22.2845,114.12888,Private room,180,30,0,,,384,364,0,
1187738,Furnished Studio in western HK,4584648,Ivy,,Sham Shui Po,22.33247,114.16271,Private room,217,30,0,,,384,365,0,
1187739,Bright room Welcome for short term!,4584648,Ivy,,Sham Shui Po,22.3323,114.16243,Private room,180,30,0,,,384,365,0,
1187770,ROOFTOP room ( SUPER close to MTR),4584648,Ivy,,Yau Tsim Mong,22.31447,114.17082,Private room,180,29,0,,,384,364,0,
1226450,Flat share in Sheung Wan,4584648,Ivy,,Central & Western,22.28796,114.14945,Private room,180,31,1,2016-02-28,0.01,384,364,0,
1229848,"Cool Stanley Surf Flat, big rftp summer mth discnt",6708889,Marcos,,Southern,22.21892,114.21369,Entire home/apt,1000,30,30,2019-06-08,0.28,2,280,0,
1312023,Flat share room in Yau Ma Tei,4584648,Ivy,,Yau Tsim Mong,22.31214,114.17227,Private room,620,30,0,,,384,365,0,
1345297,Modern Studio in Central/Soho!,5056201,Joyce,,Central & Western,22.28251,114.15107,Entire home/apt,780,28,1,2014-05-01,0.01,3,350,0,
1476913,Neat Cozy Studio for 1-3 @ Wan Chai,2716535,Jade,,Wan Chai,22.27834,114.17437,Entire home/apt,564,2,9,2016-05-04,0.08,2,179,0,
1534018,Old Hong Kong charm,8178525,Lesley,,Central & Western,22.28611,114.13637,Private room,750,3,1,2014-08-18,0.01,1,271,0,
1623311,Spacious homey 1BR in Central SoHo Area,8632157,Sara,,Central & Western,22.28115,114.15348,Entire home/apt,800,7,7,2015-12-28,0.06,1,0,0,
1643979,3BedR + 3BathR @ Hennessy Road 10/F 580SF,1375696,C S,,Wan Chai,22.27814,114.1701,Entire home/apt,2339,7,26,2022-01-04,0.24,5,83,1,
1708543,Spacious studio in heart of SoHo,7456732,Patrick,,Central & Western,22.28203,114.15223,Entire home/apt,960,2,8,2017-06-12,0.07,1,0,0,
1745925,walk 30sec to Yau Ma Tei MTR Rm10,3704487,Daniel,,Yau Tsim Mong,22.31467,114.16983,Private room,2000,1,127,2017-12-16,1.18,3,0,0,
1749208,walk 30sec to Yau Ma Tei MTR Rm11,3704487,Daniel,,Yau Tsim Mong,22.31248,114.16904,Private room,1286,1,77,2017-01-18,0.72,3,0,0,
1752310,"Modern Large Studio , Heart of city",808933,J,,Wan Chai,22.27547,114.17369,Entire home/apt,665,3,132,2022-08-19,1.22,3,284,5,
1796187,Hong Kong Seafront Surf Shack,5632220,Andrew,,Southern,22.23038,114.25346,Entire home/apt,600,3,76,2022-09-05,0.70,1,350,4,
1832930,Single bed room with green view,4031260,Jen Ai,,North,22.52314,114.18193,Private room,400,7,14,2019-09-04,0.14,2,284,0,
1887852,Stunning Studio in Causeway Bay (c25c),4584648,Ivy,,Central & Western,22.28115,114.15777,Private room,217,30,2,2018-12-20,0.02,384,355,0,
1893093,Studio I Causeway Bay Hong Kong,2767759,Alfred,,Wan Chai,22.28102,114.18655,Entire home/apt,385,150,1,2015-05-08,0.01,5,360,0,
1907254,TWO bedroom apartment @ W.Mid-level 西區2房單位 *近 MTR,4509858,Akiei,,Central & Western,22.28323,114.14365,Entire home/apt,1162,90,0,,,3,264,0,
1910193,FLATSHARE in North Point,4584648,Ivy,,Eastern,22.28853,114.19887,Private room,180,30,1,2015-07-25,0.01,384,365,0,
1922220,Right smack 'n Central Hong Kong!!,5181284,Peter,,Central & Western,22.28335,114.15275,Entire home/apt,647,20,89,2017-04-30,0.84,2,91,0,
1944230,3 BR hidden gem over hideaway beach,10056448,Annie,,Islands,22.29376,114.02168,Entire home/apt,1686,9,56,2020-07-28,0.53,2,250,0,
1971970,Wan Chai  room ---- Available  !!!,4584648,Ivy,,Wan Chai,22.27695,114.17563,Private room,180,30,1,2015-01-07,0.01,384,365,0,
2023516,WANCHAI  Room --  *************,4584648,Ivy,,Wan Chai,22.27705,114.17593,Private room,180,30,0,,,384,349,0,
2039863,Newly renovated Unit 5 – Explore like a local,6067974,Wilson,,Wan Chai,22.28608,114.1912,Entire home/apt,1200,28,54,2021-04-08,0.52,52,85,0,
2079554,Nice room in Shek Tong Tsui,4584648,Ivy,,Central & Western,22.28522,114.13643,Private room,180,30,1,2014-05-14,0.01,384,351,0,
2084693,Bridge and Sea view 2 bedroom Apartment w/ Balcony,10647247,Patrick,,Sha Tin,22.35852,114.14402,Entire home/apt,835,30,30,2019-10-07,0.28,1,124,0,
2118190,尖沙咀核心地帶，雙地鐵口，步行至維港3分鐘，大床房,10800424,Leslie,,Yau Tsim Mong,22.29805,114.17523,Private room,800,1,0,,,3,363,0,
2118222,尖沙咀核心地帶，雙地鐵口，步行至維港3分鐘，雙床房,10800424,Leslie,,Yau Tsim Mong,22.29787,114.17558,Private room,850,1,0,,,3,365,0,
2118400,尖沙咀核心地帶，雙地鐵口，步行至維港3分鐘，家庭房,10800424,Leslie,,Yau Tsim Mong,22.29665,114.17358,Private room,950,1,0,,,3,365,0,
2180315,Deluxe Yau Ma Tei Studio,4584648,Ivy,,Yau Tsim Mong,22.31533,114.1681,Private room,217,30,0,,,384,364,0,
2184084,Stylish+Chic @Midlevel Centre St,10713209,Eric,,Central & Western,22.28143,114.14003,Entire home/apt,1962,30,20,2016-03-25,0.19,1,365,0,
2186111,香港油麻地｜3分鐘到地鐵雙人房+沙發連獨立衛浴清潔維修家具WiFi匙卡系統24CCTV非代理可長短租,10428889,Theshanghai,,Yau Tsim Mong,22.31371,114.17006,Private room,297,30,0,,,7,324,0,
2217839,Room in Fortress Hill - F4c,4584648,Ivy,,Eastern,22.28942,114.19454,Private room,180,30,1,2014-01-27,0.01,384,364,0,
2269506,2BR in SOHO- STAUNTON ST. 100m from ESCALATOR #1,1306308,Will,,Central & Western,22.28174,114.15413,Entire home/apt,2112,4,132,2019-12-31,1.26,1,364,0,
2298810,One bedroom with its own balcony.,11741853,Phil,,Sai Kung,22.39501,114.26992,Private room,650,1,128,2021-08-22,1.22,1,107,0,
2333604,Room Near MTR station HK Island,11920400,Jo,,Eastern,22.29182,114.20248,Private room,900,5,0,,,1,358,0,
2413558,ROOM IN North Point,4584648,Ivy,,Eastern,22.28547,114.21686,Private room,180,30,0,,,384,365,0,
2432234,Happy Valley garden apartment -50m from Sanitorium,4286023,Jeff,,Wan Chai,22.27052,114.1844,Entire home/apt,1800,1,0,,,1,174,0,
2472517,2 BR Apt w/ Abundant Daylight.,12326516,Ck,,Yau Tsim Mong,22.31338,114.1677,Entire home/apt,580,1,329,2022-08-26,3.18,1,232,4,
2527002,Flat Share in Sham Shui Po,4584648,Ivy,,Wong Tai Sin,22.33856,114.21525,Private room,180,30,1,2015-11-05,0.01,384,365,0,
2532565,銅鑼灣羅馬假日賓館,12970634,Sandy,,Wan Chai,22.27757,114.18403,Private room,250,30,13,2017-12-26,0.13,2,172,0,
2551147,Very Nice Room ... WanChai,4584648,Ivy,,Wan Chai,22.27798,114.18068,Private room,180,30,0,,,384,365,0,
2566050,1BR for 2ppl 3mins to MongKok MTR,12404807,Melody InHK,,Yau Tsim Mong,22.31831,114.16962,Entire home/apt,283,1,203,2022-01-24,1.97,4,169,2,
